Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Diekman, Jake",518617,SI,3.16,54.54,5.52,-7.63,-139.33,-0.32,20.38,29.86,-21.37,2194,117
"Diekman, Jake",518617,SI,3.20,54.31,5.51,-11.74,-139.67,-4.61,23.03,27.62,-22.74,2276,118
"Diekman, Jake",518617,SI,3.33,54.57,5.55,-9.60,-139.48,-0.31,23.59,29.27,-22.71,2267,121
"Diekman, Jake",518617,FF,3.16,54.28,5.65,-11.16,-138.88,-2.20,24.28,29.22,-19.78,2484,118
"Diekman, Jake",518617,FF,3.14,54.35,5.62,-8.42,-138.73,-2.12,21.28,28.83,-19.72,2264,122
"Diekman, Jake",518617,SI,3.27,54.47,5.67,-10.19,-139.83,-2.58,24.22,29.05,-21.56,2217,125
"Diekman, Jake",518617,FF,3.18,54.15,5.53,-11.14,-138.97,-2.44,21.75,27.24,-17.89,2351,118
"Diekman, Jake",518617,SL,3.37,54.30,5.47,-7.52,-120.10,-3.84,-11.39,23.42,-29.66,3044,280
"Diekman, Jake",518617,SL,3.28,54.31,5.46,-7.59,-119.42,-2.73,-11.66,24.34,-31.58,3133,297
"Diekman, Jake",518617,FF,3.22,54.37,5.55,-8.36,-138.60,-2.79,17.74,33.71,-18.32,2385,117
"Diekman, Jake",518617,FF,3.18,54.28,5.65,-8.30,-138.77,-5.30,16.76,30.41,-15.98,2400,123
"Diekman, Jake",518617,SL,3.33,54.37,5.46,-4.31,-120.84,-0.06,-9.05,21.85,-27.95,2926,270
"Diekman, Jake",518617,SL,3.33,54.45,5.43,-4.31,-120.80,0.26,-15.13,23.82,-32.02,2905,283
"Diekman, Jake",518617,SL,3.50,54.22,5.54,-3.35,-121.78,-0.45,-11.28,22.54,-30.32,2927,279
"Diekman, Jake",518617,SI,3.22,54.48,5.48,-7.89,-139.43,-2.96,22.32,32.45,-22.28,2160,113
"Diekman, Jake",518617,SI,3.19,54.42,5.45,-12.95,-138.66,-1.98,20.17,27.66,-25.23,2209,118
"Diekman, Jake",518617,FF,3.23,54.32,5.62,-10.33,-137.85,-5.67,19.28,28.82,-17.82,2381,121
"Diekman, Jake",518617,SL,3.45,54.37,5.55,-7.36,-122.26,-0.40,-11.85,21.87,-30.30,2878,287
"Diekman, Jake",518617,SL,3.34,54.22,5.50,-5.97,-123.10,-0.59,-11.86,25.64,-29.90,2996,298
"Diekman, Jake",518617,SL,3.42,54.28,5.57,-6.78,-122.59,-0.64,-11.84,23.93,-30.17,3078,283
"Diekman, Jake",518617,SI,3.19,54.07,5.60,-11.81,-139.75,-4.96,18.81,30.69,-21.04,2397,121
"Diekman, Jake",518617,SI,3.09,54.35,5.47,-11.90,-139.66,-3.12,19.31,28.00,-23.51,2262,115
"Diekman, Jake",518617,FF,3.24,54.32,5.65,-8.87,-140.35,-3.11,19.72,30.83,-16.90,2269,119
"Diekman, Jake",518617,SI,3.01,54.23,5.60,-13.08,-139.07,-3.46,19.32,27.54,-23.21,2225,120
"Diekman, Jake",518617,SI,3.19,54.41,5.67,-8.32,-139.07,-2.35,19.29,28.22,-20.37,2163,117
"Diekman, Jake",518617,SI,3.28,54.39,5.56,-9.49,-139.74,-4.61,18.41,29.16,-21.78,2214,115
"Diekman, Jake",518617,SI,3.27,54.45,5.69,-7.64,-138.07,-1.10,17.50,27.80,-22.29,2138,118
"Diekman, Jake",518617,FF,3.10,54.04,5.47,-10.73,-140.53,-0.86,15.97,28.31,-20.33,2160,119
"Diekman, Jake",518617,CH,3.05,54.16,5.46,-8.50,-125.16,0.36,11.98,22.01,-30.77,1365,102
"Diekman, Jake",518617,SI,3.10,54.10,5.40,-12.18,-140.86,-2.67,19.89,30.85,-25.33,2166,119
"Diekman, Jake",518617,FF,2.95,54.08,5.60,-9.09,-139.84,-3.22,17.56,31.05,-20.24,2247,122
"Diekman, Jake",518617,SI,3.09,54.06,5.52,-7.31,-137.27,-3.90,19.68,29.81,-24.20,2015,114
"Diekman, Jake",518617,SI,3.20,54.01,5.38,-8.63,-140.57,-4.68,21.17,29.22,-21.05,2321,118
"Diekman, Jake",518617,FF,3.17,53.81,5.43,-16.99,-138.19,-9.95,20.34,29.40,-16.90,2391,121
"Diekman, Jake",518617,SI,3.00,53.86,5.32,-13.93,-138.29,-6.74,20.61,30.16,-24.50,2173,116
"Diekman, Jake",518617,SI,3.15,53.98,5.46,-12.68,-138.62,-0.81,22.63,31.72,-25.42,2234,118
"Diekman, Jake",518617,FF,2.85,53.91,5.60,-12.79,-139.97,-5.62,16.13,29.56,-17.18,2264,124
"Diekman, Jake",518617,FF,3.05,53.94,5.46,-10.81,-141.72,-3.86,17.30,30.11,-18.43,2313,120
"Diekman, Jake",518617,SL,3.05,54.18,5.37,-7.57,-121.05,-6.86,-16.97,24.59,-32.97,2900,309
"Diekman, Jake",518617,SL,3.18,54.18,5.45,-4.73,-122.36,-1.05,-14.64,23.66,-32.56,2735,299
"Diekman, Jake",518617,SI,2.99,54.00,5.55,-10.81,-141.53,-3.56,17.53,30.60,-21.76,2225,122
"Diekman, Jake",518617,SI,2.93,54.05,5.55,-5.89,-140.26,-5.50,17.40,29.80,-24.56,2073,112
"Diekman, Jake",518617,FF,3.31,54.12,5.75,-12.40,-137.11,-4.37,21.73,30.32,-19.69,2289,126
"Diekman, Jake",518617,CH,3.32,54.35,5.57,-8.84,-122.07,-0.85,13.26,21.84,-28.58,1673,100
"Diekman, Jake",518617,FF,3.43,54.26,5.61,-10.40,-138.73,-0.86,19.97,28.67,-19.86,2371,121
"Diekman, Jake",518617,FF,3.25,54.18,5.71,-11.04,-137.87,-4.24,18.40,27.50,-16.84,2307,121
"Diekman, Jake",518617,FF,3.30,54.18,5.67,-11.14,-137.00,-7.22,16.20,30.63,-16.25,2396,129
"Diekman, Jake",518617,SL,3.73,54.42,5.60,-2.98,-120.63,1.73,-8.67,21.03,-28.87,2797,292
"Diekman, Jake",518617,FF,3.43,54.50,5.66,-8.21,-138.15,-4.17,17.31,31.43,-18.31,2359,120
"Diekman, Jake",518617,FF,3.15,54.34,5.66,-9.12,-138.27,-6.74,21.01,29.71,-18.69,2365,124
"Diekman, Jake",518617,FF,3.40,54.32,5.74,-9.39,-138.72,-2.98,17.94,27.16,-18.66,2277,125
"Diekman, Jake",518617,FF,3.63,54.35,5.74,-9.86,-138.03,-5.14,19.51,28.73,-16.84,2371,120
"Diekman, Jake",518617,FF,3.54,54.38,5.78,-5.98,-136.57,-3.12,17.75,32.14,-18.13,2314,121
"Diekman, Jake",518617,SL,3.84,54.38,5.59,-7.74,-119.62,-3.16,-6.94,23.73,-28.42,2888,281
"Diekman, Jake",518617,SI,3.56,54.23,5.63,-9.79,-136.61,-2.94,20.86,30.61,-23.33,2121,128
"Diekman, Jake",518617,SI,3.48,54.38,5.60,-10.45,-137.40,-3.67,19.27,28.53,-23.63,2264,122
"Diekman, Jake",518617,FF,3.20,54.12,5.75,-13.38,-136.42,-3.69,16.50,28.51,-16.48,2378,128
"Diekman, Jake",518617,SL,3.66,54.18,5.58,-7.89,-118.80,-3.54,-10.54,21.47,-30.62,2965,307
"Diekman, Jake",518617,FF,3.48,54.29,5.64,-13.78,-136.51,-5.25,22.89,24.94,-19.84,2175,124
"Diekman, Jake",518617,SI,3.43,54.08,5.60,-11.41,-135.96,-7.75,20.87,27.52,-24.15,2165,125
"Diekman, Jake",518617,SL,3.69,54.10,5.57,-4.93,-117.07,-0.32,-11.93,22.63,-32.10,2885,313
"Diekman, Jake",518617,FF,3.43,53.52,5.79,-10.96,-137.37,-5.73,19.64,30.71,-13.96,2437,129
"Diekman, Jake",518617,SL,3.53,54.29,5.53,-4.14,-116.72,1.60,-7.05,23.77,-27.89,2796,296
"Diekman, Jake",518617,FF,3.47,54.15,5.61,-11.46,-139.48,-1.89,17.51,27.39,-18.57,2410,124
"Diekman, Jake",518617,FF,3.61,54.05,5.62,-13.89,-138.12,-4.39,21.44,30.49,-19.37,2380,122
