Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"May, Dustin",669160,CU,-2.39,53.94,5.20,5.35,-125.50,-0.84,13.98,29.20,-34.17,3312,77
"May, Dustin",669160,FC,-2.36,53.97,5.20,6.27,-137.37,-3.67,-1.38,29.23,-25.80,2682,244
"May, Dustin",669160,CH,-2.48,54.01,5.13,6.96,-130.08,-4.45,-14.08,28.43,-32.82,1998,267
"May, Dustin",669160,FF,-2.33,53.94,5.41,6.10,-144.28,-4.52,-14.43,34.56,-11.03,2458,227
"May, Dustin",669160,SI,-2.34,53.76,5.15,9.43,-141.78,-6.64,-25.42,31.95,-23.67,2283,235
"May, Dustin",669160,FC,-2.52,53.67,5.19,9.24,-135.85,-4.63,-5.73,27.71,-24.06,2501,219
"May, Dustin",669160,SI,-2.31,54.02,5.08,9.70,-142.28,-3.56,-24.06,33.11,-23.19,2292,241
"May, Dustin",669160,SI,-2.34,53.79,5.01,12.75,-143.06,-6.71,-25.50,27.56,-22.78,2332,238
"May, Dustin",669160,FF,-2.25,53.84,5.34,13.12,-144.25,-6.63,-15.73,34.70,-13.22,2359,232
"May, Dustin",669160,CH,-2.54,54.06,5.03,5.08,-131.27,-2.16,-12.74,29.36,-28.96,1832,267
"May, Dustin",669160,CH,-2.45,53.89,5.12,6.95,-132.51,-3.78,-14.73,25.36,-32.12,1913,269
"May, Dustin",669160,FC,-2.31,53.89,5.15,5.16,-137.10,-3.47,-0.76,25.51,-25.74,2440,50
"May, Dustin",669160,FC,-2.45,54.07,5.30,6.54,-136.72,-0.44,-0.76,24.41,-26.85,2485,208
"May, Dustin",669160,SI,-2.41,54.01,5.14,7.35,-143.31,-4.57,-21.74,30.45,-22.48,2284,232
"May, Dustin",669160,SI,-2.38,54.15,5.10,10.66,-143.34,-5.18,-22.35,32.54,-21.96,2348,231
"May, Dustin",669160,CU,-2.47,53.88,5.21,7.46,-124.60,-2.71,13.23,28.90,-37.62,2304,140
"May, Dustin",669160,SI,-2.40,54.03,5.09,9.04,-142.19,-5.74,-21.81,31.06,-24.39,2334,241
"May, Dustin",669160,CU,-2.42,53.89,5.21,4.63,-124.17,-0.59,16.52,27.59,-36.50,3005,32
